m/z	intensity
141.12724	23.0
141.1289	0.0
141.1389	0.0
141.14056	35.0
141.14224	0.0
141.1589	0.0
141.16057	47.0
141.16225	23.0
141.16391	35.0
141.16557	0.0
141.93176	0.0
141.93344	23.0
141.9351	23.0
141.93678	0.0
141.95349	0.0
141.95517	23.0
141.95685	0.0
141.95851	35.0
141.96019	47.0
141.96185	23.0
141.96353	0.0
141.9652	23.0
141.96687	0.0
141.96854	0.0
141.97021	23.0
141.9719	0.0
141.97858	0.0
141.98024	23.0
141.98192	0.0
142.05884	0.0
142.0605	23.0
142.06218	0.0
142.08559	0.0
142.08727	23.0
142.08893	35.0
142.0906	0.0
142.09229	0.0
142.09395	23.0
142.09563	0.0
142.09729	23.0
142.09897	0.0
142.11737	0.0
142.11903	63.0
142.12071	73.0
142.12239	47.0
142.12405	23.0
142.12573	0.0
142.13075	0.0
142.13242	35.0
142.1341	23.0
142.13577	0.0
142.15416	0.0
142.15584	23.0
142.15752	0.0
142.94987	0.0
142.95155	23.0
142.95323	0.0
143.06396	0.0
143.06564	23.0
143.06732	0.0
143.069	23.0
143.07068	0.0
143.07236	0.0
143.07404	23.0
143.07571	0.0
143.07907	0.0
143.08075	23.0
143.08243	23.0
143.0841	23.0
143.08578	0.0
143.09921	0.0
143.10089	23.0
143.10257	59.0
143.10425	0.0
143.10593	35.0
143.1076	0.0
143.11096	0.0
143.11264	35.0
143.11432	0.0
143.14285	0.0
143.14453	23.0
143.14621	23.0
143.14789	23.0
143.14957	23.0
143.15125	135.0
143.15292	201.0
143.1546	220.0
143.15628	144.0
143.15796	88.0
143.15964	35.0
143.16132	23.0
143.163	0.0
143.9531	0.0
143.95479	23.0
143.95647	0.0
143.95815	0.0
143.95984	35.0
143.96152	0.0
144.05917	0.0
144.06085	23.0
144.06255	23.0
144.06422	23.0
144.0659	23.0
144.0676	0.0
144.08107	0.0
144.08275	23.0
144.08443	0.0
144.10295	0.0
144.10464	23.0
144.10632	0.0
144.13159	0.0
144.13327	35.0
144.13496	76.0
144.13664	152.0
144.13834	23.0
144.14001	96.0
144.1417	23.0
144.14339	0.0
144.15518	0.0
144.15686	23.0
144.15854	0.0
144.16866	0.0
144.17033	23.0
144.17203	0.0
145.00882	0.0
145.01051	35.0
145.0122	23.0
145.0139	59.0
145.01558	144.0
145.01727	69.0
145.01897	47.0
145.02065	0.0
145.02234	47.0
145.02403	0.0
145.06459	0.0
145.06627	23.0
145.06796	0.0
145.07303	0.0
145.07472	23.0
145.07642	0.0
145.10007	0.0
145.10176	35.0
145.10345	0.0
145.10515	23.0
145.10684	0.0
